Course,Book,Chapter,Author,Summary
Introduction to cognitive science,Cognitive psychology and its implications,Decision Making,Anderson J. R.,"Decision making deals with choosing actions that can have real consequences in the presence of real uncertainty. All mammals have the dopamine system that we just described, which gives them a basic ability to seek things that are rewarding and avoid things that are harmful. However, humans, by virtue of their greatly expanded prefrontal cortex, have a highly developed capacity to reflect on their circumstances and select actions other than what their more primitive systems might urge. Research suggests that the ventromedial portion of the human prefrontal cortex, which is proportionally much larger than the same region in the genetically similar apes, might play a particularly important role in such regulation. Humans attempt acts of self-regulation — for example, diet plans — that are far beyond the reach of any other species. However, we live in an uncertain world, as evidenced by all the contradictory claims made for various diet plans. Perhaps if we understood better how people respond to such uncertainty and to such contradictory information, we would also be in a better position to understand why there are so many failures of our good resolutions."
Introduction to cognitive science,Cognitive psychology and its implications,Individual differences in Cognition,Anderson J. R.,"Two recurring themes throughout this book have been the diversity of the components of the mind and the specialization of different brain regions to perform different functions. The first chapter reviewed the evidence for different specializations in the nervous system. Subsequent chapters reviewed the evidence for different levels of processing as information entered the system and then discussed the different types of knowledge representation and the distinction between procedural and declarative knowledge. Then, we considered the distinct status of language. Many of the findings discussed in those chapters have been reinforced in this chapter on individual differences. Another recurring theme has been the importance of the rate of processing: Response time has been the most frequently used measure of cognitive functioning in this book. Often, error measures (the second most common dependent measure) were shown to be merely indications of slow processing. We have seen evidence in this chapter that individuals vary in their rate of processing, and we have stressed that this rate can be increased with practice. In addition to the quantitative component of speed, individual differences have a qualitative component: People can differ in where their strengths lie. They can also differ in their selection of strategies for solving problems. We saw evidence in Chapter 9 that one dimension of growing expertise is the development of more effective strategies. One might view the human mind as being analogous to a large corporation that consists of many interacting components. The differences among corporations are often due to the relative strengths of their components. With practice, different components tend to become more efficient at doing their tasks. Another way to achieve improvement is by strategic reorganizations of parts of the corporation. However, there is more to a successful company than just the sum of its parts: The parts have to interact smoothly to achieve the overall goals of the organization. Some researchers (e.g., Newell, 1990) have complained about the rather fragmented picture of the human mind that emerges from current research in cognitive psychology. One agenda for future research will be to understand how all the pieces fit together to make a human mind."
Methods,Statistics for linguists: An Introduction using R,Introduction to R,Winter B.,"R is a statistical programming language that is ideal for analyzing linguistic data. This chapter provides the first stepping stones in writing an R script, including how to work with functions and arguments, as well as with different vector classes. The chapter also introduces the reader to assigning variables in R, and to ways of indexing/subsetting existing R objects. In addition, readers will be introduced to basic logical operations, matrices, data frames, file management, installing and citing R packages, and plotting. After a first look at a cross-linguistic dataset of how linguistic diversity is affected by ecological risk, the chapter concludes with recommendations for how to proceed learning more about R."
Methods,Statistics for linguists: An Introduction using R,The Tidyverse and Reproducible Workflows,Winter B.,"The “tidyverse” is a network of packages that makes working with R much easier. Among other things, “tidyverse”-style functions (such as from the “dplyr” and “ggplot2” packages) make it much easier to write clean code, which facilitates the “reproducibility” of one’s analysis, i.e., the ability of other researchers to recreate every step in the data analysis cycle. Besides teaching how to wrangle with data, this chapter introduces reproducible research practices, including R Markdown. The chapter also addresses common objections against sharing one’s data and code."
Methods,Statistics for linguists: An Introduction using R,"Descriptive statistics, Models, and Distribution",Winter B.,"Statistics is the process of making complex data structures amenable to human cognition. The chapter introduces the mean, a measure of the central tendency of a distribution. The mean is discussed as a “model”, in the sense that it provides a simplified representation of a set of numbers that is easier to grasp than the entire set of numbers. Another important “model” is the standard deviation, which measures the spread of a distribution. Alongside a discussion of these basic descriptive statistics, the uniform distribution and normal distribution (Gaussian) are introduced to the reader, together with the important fundamental distinction between sample estimates and population parameters. The chapter concludes with a descriptive analysis of how “good” or “bad” certain words are (emotional valence)."
Methods,Statistics for linguists: An Introduction using R,"Correlation, Linear, and Nonlinear transformations",Winter B.,"When researchers, including linguists, use linear models to analyze their data, they often need to “transform” the variables in their study. This chapter discusses linear and nonlinear transformations. Whereas linear transformations have rather innocuous effects (they leave the relationships between data points untouched), nonlinear transformations can substantially alter one’s conclusions (the relationships between data points is affected). The chapter discusses “centering” (subtracting the mean) and “standardizing” (dividing by the standard deviation) as two common linear transformations. The main nonlinear transformation discussed here is the logarithm, which is ubiquitous in linguistics. Extensive examples tell the reader how to interpret linear models when variables have been transformed. The chapter concludes with a discussion of correlation as it can be thought of as a standardized form of regression."
Methods,Statistics for linguists: An Introduction using R,Inferential statistics 1: Significance Testing,Winter B.,"Inferential statistics describes the process of making inferences onto a population of interest (such as the population of all English speakers) based on a sample that only represents a subset of this population (such as a small group of English speakers that were tested in a linguistic study). This chapter looks at how certainty in one’s sample estimates can be quantified, so as to develop a procedure (null hypothesis significance testing) that gives us a clear decision procedure for making claims about the population. Along the way, the chapter also introduces the very important concept of “effect size”, and standardized effect size measures such as Pearson’s correlation coefficient and Cohen’s d are discussed. After discussing effect size, the reader is introduced to standard errors and confidence intervals. The chapter concludes with a discussion of the t-test for comparing two group means (such as testing whether men and women differ in voice pitch), which leads to a discussion of p-values."
Methods,Statistics for linguists: An Introduction using R,Inferential statistics 2: Issues with Significance Testing,Winter B.,"Null hypothesis significance testing is not without its issues, and misapplications abound in the literature. This chapter discusses common misinterpretations of p-values, followed by a discussion of things that can go wrong: Type I errors (false positives), Type II errors (false negatives), Type M errors (magnitude errors), and Type S errors (sign errors). This discussion is used to argue for the importance of statistical power (the ability to detect an effect if the null hypothesis is actually false). Researchers in all disciplines, including linguistics, should strive to conduct “high-powered” studies—for example, by collecting as much data as possible. The chapter also discusses the important issue of “multiple testing”: when a researcher conducts lots of significance tests on the same dataset, the chance that any of these tests is significant increases drastically—even if nothing is going on in the dataset. This issue can be circumvented by “correcting” one’s alpha level (being more conservative in accepting significant results); however, the best recommendation is to perform as few significance tests if possible—especially if there are clear theoretical motivations for doing so."
Methods,Statistics for linguists: An Introduction using R,Introduction to Linear model: Simple Linear Regression,Winter B.,"Linear models are ubiquitous in statistics and can be found all across the language sciences. This chapter introduces the reader to simple linear regression (ordinary least squares regression) using a psycholinguistic dataset as an example (word frequency effects). Basic linear regression concepts are discussed, such as the distinction between intercepts and slopes, the distinction between fitted values and residuals, and the concept of error minimization (“best fitting line”). The chapter also discusses R 2 as a measure of how much variance is described by a linear model."
Methods,Statistics for linguists: An Introduction using R,Mulitple Regression,Winter B.,"Linear models become much more interesting once multiple predictors are included (“multiple regression”). This chapter provides an extensive example of a dataset on iconicity (the degree to which a word sounds like what it means, such as onomatopeic forms like “beeping” and “squealing”). Multiple predictors are included into a linear model to look at how iconicity is affected by various word-level properties. The chapter also clearly shows why it is important to standardize one’s variables if the comparison of the relative impact of different predictors is of interest. The chapter concludes with a discussion of linear modeling assumptions, including normality and homoscedasticity (“constant variance”/“equal variance”)."
Methods,Statistics for linguists: An Introduction using R,Categorical Predictors,Winter B.,"One of the true powers of the linear model framework is that predictors can be both continuous (such as pitch, which is measured on the continuous scale of Hertz) or categorical (such as active versus passive voice, or male versus female sex). This chapter introduces the reader to how categorical predictors can be incorporated a linear model analysis. Two “coding schemes” for categorical predictors are discussed in this chapter, including “treatment coding” (R’s default) and “sum-coding”. In a hands-on example, the reader is guided through an analysis of the emotional properties of taste and smell words (such as sweet, bitter, pungent, and fragrant)."
Methods,Statistics for linguists: An Introduction using R,Mixed models 1: Conceptual Introduction,Winter B.,"Mixed models (aka multilevel models) are incredibly important when dealing with situations where there are clusters of non-independent data points, such as is the case with almost all linguistic experiments (“repeated measures experiments”, in particular in psycholinguistics, sociolinguistics, and phonetics). This chapter provides a conceptual introduction to mixed models from the perspective of the “independence assumption” of regression modeling, according to which each data point has to be independent. When this is violated, mixed models can be used to resolve the violation and inform the model about sources of heterogeneity in the data. The reader is introduced to the distinction between fixed and random effects, as well as to the distinction between random intercepts and random slopes. The chapter also introduces the R syntax used to specify mixed models in the widely used lme4 package."
Methods,Statistics for linguists: An Introduction using R,"Mixed Models 2: Extended Example, Significance Testing, Convergence Issues",Winter B.,"This chapter delves more deeply into mixed models and provides two hands-on examples. First, a dataset is constructed using random number generation functions. This dataset is then analyzed with mixed models. Because the dataset is hand-generated, the “ground truth” of the data can be compared to the model output. The reader is walked through interpreting the output of a mixed model. The second example introduces mixed logistic regression, a form of mixed model suitable for binary categorical data. In this case, a discourse analysis dataset of “ugly selfies” is analyzed. The chapter also discusses remaining topics in mixed models, such as convergence issues and shrinkage."
Methods,Statistics for linguists: An Introduction using R,Generalized Linear Models 1: Logistic Regression,Winter B.,"In a lot of linguistic applications, researchers are interested in modeling a categorical outcome variable (such as whether a speaker has used active voice or passive voice) as a function of various predictors. For this, generalized linear models (GLMs) can be used, which are an extension of linear models. With GLMs, one can relax assumptions imposed on the distribution of the response variable, which allows modeling categorical data. The reader is introduced to one specific form of GLM, logistic regression. This form of regression is suitable to modeling binary categorical data (active versus passive voice, correct versus incorrect, etc.). Along the way, the chapter introduces the Bernoulli distribution, log odds (logits), and the logistic function. Since many errors can happen with interpreting logit coefficients, the chapter walks the reader through several examples, including modeling the English dative alternation and a psycholinguistic experiment of gesture perception."
Methods,Statistics for linguists: An Introduction using R,Interactions and Nonlinear Effects,Winter B.,"The term “interaction” describes situations in which one predictor’s influence on a linguistic variable is conditioned on another predictor. Informally, we can speak of interactions as cases where predictors are “more than the sum of their parts”. Mathematically, interactions are multiplicative rather than additive effects. Interactions are extremely common in linguistic data, and they are often theoretically very interesting. However, unfortunately, interactions make the interpretation of one’s models much more difficult, and many linguists commonly misinterpret their models in the presence of interactions. To combat this, the chapter walks the reader through numerous examples of interactions. Example analyses include datasets of a conceptual metaphor experiment, as well as a study on iconicity (how much a word sounds like what it means)."
Methods,Discovering Statistics Using R,Exploring Assumptions,Field A.,"‘You promised us swans,’ I hear you cry, ‘and all we got was normality this, homosomethingorother that, transform this, it’s all a waste of time that. Where were the bloody swans?!’ Well, the Queen owns them all so I wasn’t allowed to have them. Nevertheless, this chapter did negotiate Dante’s eighth circle of hell (Malebolge), where data of deliberate and knowing evil dwell. That is, data that don’t conform to all of those pesky assumptions that make statistical tests work properly. We began by seeing what assumptions need to be met for parametric tests to work, but we mainly focused on the assumptions of normality and homogeneity of variance. To look for normality we rediscovered the joys of frequency distributions, but also encountered some other graphs that tell us about deviations from normality (Q-Q plots). We saw how we can use skew and kurtosis values to assess normality and that there are statistical tests that we can use (the Shapiro–Wilk test). While negotiating these evildoers, we discovered what homogeneity of variance is, and how to test it with Levene’s test and Hartley’s Fmax. Finally, we discovered redemption for our data. We saw we can cure their sins, make them good, with transformations (and on the way we discovered some of the uses of the by() function and the transformation functions). Sadly, we also saw that some data are destined always to be evil. We also discovered that I had started to read. However, reading was not my true passion; it was music. One of my earliest memories is of listening to my dad’s rock and soul records (back in the days of vinyl) while waiting for my older brother to come home from school, so I must have been about 3 at the time. The first record I asked my parents to buy me was ‘Take on the World’ by Judas Priest, which I’d heard on Top of the Pops (a now defunct UK TV show) and liked. This record came out in 1978 when I was 5. Some people think that this sort of music corrupts young minds. Let’s see if it did …"
Methods,Discovering Statistics Using R,Correlation,Field A.,"This chapter has looked at ways to study relationships between variables. We began by looking at how we might measure relationships statistically by developing what we already know about variance (from Chapter 1) to look at variance shared between variables. This shared variance is known as covariance. We then discovered that when data are parametric we can measure the strength of a relationship using Pearson’s correlation coefficient, r. When data violate the assumptions of parametric tests we can use Spearman’s rs , or for small data sets Kendall’s τ may be more accurate. We also saw that correlations can be calculated between two variables when one of those variables is a dichotomy (i.e., composed of two categories); when the categories have no underlying continuum then we use the point-biserial correlation, rpb, but when the categories do have an underlying continuum we use the biserial correlation, rb . Finally, we looked at the difference between partial correlations, in which the relationship between two variables is measured controlling for the effect that one or more variables has on both of those variables, and semi-partial correlations, in which the relationship between two variables is measured controlling for the effect that one or more variables has on only one of those variables. We also discovered that I had a guitar and, like my favourite record of the time, I was ready to ‘Take on the World’. Well, Wales at any rate …"
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Neurons and Glia,Bear M.,"Learning the structural characteristics of the neuron provides insight into how neurons and their different parts work because structure correlates with function. For example, the absence of ribosomes in the axon correctly predicts that proteins in the axon terminal are provided from the soma via axoplasmic transport. A large number of mitochondria in the axon terminal correctly predicts a high energy demand. The elaborate structure of the dendritic tree appears ideally suited for receiving incoming information, and indeed, this is where most of the synapses are formed with the axons of other neurons. From the time of Nissl, the rough ER has been recognized as an important feature of neurons. What does this tell us about neurons? Recall that rough ER is a site of the synthesis of proteins destined to be inserted into the membrane. We will next see how the various proteins in the neuronal membrane give rise to the unique capabilities of neurons to transmit, receive, and store information."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,The Action Potential,Bear M.,"Let’s return briefly to the example in Chapter 3 of stepping on a thumbtack. The breaking of the skin caused by the tack stretches the sensory nerve endings of the foot. Special ion channels that are sensitive to the stretching of the membrane open and allow positively charged sodium ions to enter the ends of the axons in the skin. This influx of positive charge depolarizes the membrane to threshold, and the action potential is generated. The positive charge that enters during the rising phase of the action potential spreads along the axon and depolarizes the membrane ahead to threshold. In this way, the action potential is continuously regenerated as it sweeps like a wave along the sensory axon. We now come to the step where this information is distributed to and integrated by other neurons in the central nervous system. This transfer of information from one neuron to another is called synaptic transmission, the subject of the next two chapters. It should come as no surprise that synaptic transmission, like the action potential, depends on specialized proteins in the neuronal membrane. Thus, a picture begins to emerge of the brain as a complicated mesh of interacting neuronal membranes. Consider that a typical neuron with all its neurites has a membrane surface area of about 250,000 μm². The surface area of the 85 billion neurons that make up the human brain comes to 21,250 m²—roughly the size of three soccer fields. This expanse of membrane, with its myriad specialized protein molecules, constitutes the fabric of our minds."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Synaptic Transmission,Bear M.,"This chapter has covered the basic principles of chemical synaptic transmission. The action potential that arose in the sensory nerve when you stepped on that thumbtack in Chapter 3, and that swept along the axon in Chapter 4, has now reached the axon terminal in the spinal cord. The depolarization of the terminal triggered the presynaptic entry of Ca²⁺ through voltage-gated calcium channels, which then stimulated exocytosis of the contents of synaptic vesicles. Liberated neurotransmitter diffused across the synaptic cleft and attached to specific receptors in the postsynaptic membrane. The transmitter (probably glutamate) caused transmitter-gated channels to open, which allowed positive charge to enter the postsynaptic dendrite. Because the sensory nerve was firing action potentials at a high rate, and because many synapses were activated at the same time, the EPSPs summed to bring the spike-initiation zone of the postsynaptic neuron to threshold, and this cell then generated action potentials. If the postsynaptic cell is a motor neuron, this activity will cause the release of ACh at the neuromuscular junction and muscle contraction to jerk your foot away from the tack. If the postsynaptic cell is an interneuron that uses GABA as a neurotransmitter, the activity of the cell will result in inhibition of its synaptic targets. If this cell uses a modulatory transmitter such as NE, the activity could cause lasting changes in the excitability or metabolism of its synaptic targets. It is this rich diversity of chemical synaptic interactions that allows complex behaviors (such as shrieking with pain as you jerk up your foot) to emerge from simple stimuli (such as stepping on a thumbtack). Although we surveyed chemical synaptic transmission in this chapter, we did not cover the chemistry of synaptic transmission in any detail. In Chapter 6, we’ll take a closer look at the chemical “nuts and bolts” of different neurotransmitter systems. In Chapter 15, after we’ve examined the sensory and motor systems in Part II, we’ll explore the contributions of several different neurotransmitters to nervous system function and behavior. You’ll see that the chemistry of synaptic transmission warrants all this attention because defective neurotransmission is the basis for many neurological and psychiatric disorders. And virtually all psychoactive drugs, both therapeutic and illicit, exert their effects at chemical synapses. In addition to explaining aspects of neural information processing and the effects of drugs, chemical synaptic transmission is also the key to understanding the neural basis of learning and memory. Memories of past experiences are established by modification of the effectiveness of chemical synapses in the brain. This chapter suggests possible sites of modification, ranging from changes in presynaptic Ca²⁺ entry and neurotransmitter release to alterations in postsynaptic receptors or excitability. As we shall see in Chapter 25, all of these changes are likely to contribute to the storage of information by the nervous system."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,The Structure of the Nervous System,Bear M.,"Although we have covered a lot of new ground in this chapter, we have only scratched the surface of neuroanatomy. Clearly, the brain deserves its status as the most complex piece of matter in the universe. What we have presented here is a shell, or scaffold, of the nervous system and some of its contents. Understanding neuroanatomy is necessary for understanding how the brain works. This statement is just as true for an undergraduate first-time neuroscience student as it is for a neurologist or a neurosurgeon. In fact, neuroanatomy has taken on a new relevance with the advent of methods of imaging the living brain (Figure 7.30). An Illustrated Guide to Human Neuroanatomy appears as an appendix to this chapter. Use the guide as an atlas to locate various structures of interest. Labeling exercises are also provided to help you learn the names of the parts of the nervous system you will encounter in this book. In Part II, Sensory and Motor Systems, the anatomy presented in this chapter and its appendix will come alive, as we explore how the brain goes about the tasks of smelling, seeing, hearing, sensing touch, and moving."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,Brain rhythms and Sleep,Bear M.,"Rhythms are ubiquitous in the vertebrate central nervous system. They also span a broad range of frequencies, from more than 500 Hz in the cortical EEG to once per year (0.00000003 Hz) for many seasonal behaviors, such as the autumn mating of deer, the winter hibernation of chipmunks, and the instinct that drives migrating swallows to return to Capistrano, California every March 19. According to local legend, in 200 years, these swallows have missed the date only twice. In some cases, these rhythms are based on intrinsic brain mechanisms; in some, they result from environmental factors; and in others, such as the SCN clock, they represent an interaction of a neural process and zeitgebers. While the purpose of some rhythms is obvious, the functions of many neural rhythms are unknown. Indeed, some rhythms may have no function at all but arise as a secondary consequence of neural interconnections that are essential for other, nonrhythmic, purposes. Among the most conspicuous yet inexplicable of brain rhythms is sleep. Sleep provides a fascinating set of problems for neuroscience. Unlike most studies of single ion channels, single neurons, or the systems mediating perception and movement, sleep research begins with profound ignorance about a most basic question: Why? We still don’t know why we spend one-third of our lives sleeping, most of that time languid and vegetative and the rest of it paralyzed and hallucinating. Sleep and dreams may have no vital function, but they can be studied and enjoyed nevertheless. Ignoring the functional question will not be a satisfying approach for long, however. For most neuroscientists, asking “Why?” remains the deepest and most challenging problem of all."
Cognitive Neuroscience,Neuroscience: Exploring the Brain,The Central Visual System,Bear M.,"In this chapter, we have outlined the organization of the sensory pathway from the eye to the thalamus to the cortex. We saw that vision actually involves the perception of numerous different properties of objects—including color, form, and movement—and these properties are processed in parallel by different cells of the visual system. This processing of information evidently requires a strict segregation of inputs at the thalamus, some limited convergence of information in the striate cortex, and finally a massive divergence of information as it is passed on to higher cortical areas. The distributed nature of the cortical processing of visual information is underscored when you consider that the output of a million ganglion cells can recruit the activity of well over a billion cortical neurons throughout the occipital, parietal, and temporal lobes! Somehow, this widespread cortical activity is combined to form a single, seamless perception of the visual world. Heed the lessons learned from the visual system. As we shall see in later chapters, the basic principles of organization in this system—parallel processing, topographic mappings of sensory surfaces, synaptic relays in the dorsal thalamus, cortical modules, and multiple cortical representations—are also features of the sensory systems devoted to hearing and touch."
