eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,abstract,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Course,Book
2-s2.0-84862695008,10.1371/journal.pone.0038869,,22745683,Dynamics of conflicts in wikipedia,ar,Article,Yasseri T.,60030035;60027811,Budapest University of Technology and Economics;Magyar Tudomanyos Akademia,Budapest;Budapest,Hungary;Hungary,5,"Yasseri, Taha;Sumi, Robert;Rung, András;Kornai, András;Kertész, János",26531952500;57189080014;57198796737;6506991157;35473453300,60030035;60030035;60030035;60030035-60027811;60030035,2012-06-20,20 June 2012,PLoS ONE,,10600153309,19326203,Journal,7,6,e38869,,"In this work we study the dynamical features of editorial wars in Wikipedia (WP). Based on our previously established algorithm, we build up samples of controversial and peaceful articles and analyze the temporal characteristics of the activity in these samples. On short time scales, we show that there is a clear correspondence between conflict and burstiness of activity patterns, and that memory effects play an important role in controversies. On long time scales, we identify three distinct developmental patterns for the overall behavior of the articles. We are able to distinguish cases eventually leading to consensus from those cases where a compromise is far from achievable. Finally, we analyze discussion networks and conclude that edit wars are mainly fought by few editors only. © 2012 Yasseri et al.",,185.0,1.0,repositoryam,Green,FP7,238597,Seventh Framework Programme,Social and Cultural dynamics,
2-s2.0-0038483826,10.1126/science.286.5439.509,,,Emergence of scaling in random networks,ar,Article,Barabási A.,60021508,University of Notre Dame,Notre Dame,United States,2,"Barabási, Albert László;Albert, Réka",7006567633;7202686127,60021508;60021508,1999-10-15,15 October 1999,Science,00368075,23571,,Journal,286,5439,,509-512,"Systems as diverse as genetic networks or the World Wide Web are best described as networks with complex topology. A common property of many large networks is that the vertex connectivities follow a scale-free power-law distribution. This feature was found to be a consequence of two generic mechanisms: (i) networks expand continuously by the addition of new vertices, and (ii) new vertices attach preferentially to sites that are already well connected. A model based on these two ingredients reproduces the observed stationary scale-free distributions, which indicates that the development of large networks is governed by robust self-organizing phenomena that go beyond the particulars of the individual systems.",,27887.0,0.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-84937001995,10.1016/j.jtbi.2015.06.031,S0022519315003100,26141644,Evolution of fairness in the dictator game by multilevel selection,ar,Article,Schank J.,60014439,"University of California, Davis",Davis,United States,3,"Schank, Jeffrey C.;Smaldino, Paul E.;Miller, Matt L.",7003398839;45861773400;56719947100,60014439;60014439;60014439,2015-10-07,"October 07, 2015",Journal of Theoretical Biology,00225193,29663,10958541,Journal,382,,,64-73,"The most perplexing experimental results on fairness come from the dictator game where one of two players, the dictator, decides how to divide a resource with an anonymous player. The dictator, acting self-interestedly, should offer nothing to the anonymous second player, but in experimental studies, dictators offer much more than nothing. We developed a multilevel selection model to explain why people offer more than nothing in the dictator game. We show that fairness can evolve when population structure emerges from the aggregation and limited dispersal of offspring. We begin with an analytical model that shows how fair behavior can benefit groups by minimizing within-group variance in resources and thereby increasing group fitness. To investigate the generality of this result, we developed an agent-based model with agents that have no information about other agents. We allowed agents to aggregate into groups and evolve different levels of fairness by playing the dictator game for resources to reproduce. This allowed multilevel selection to emerge from the spatiotemporal properties of individual agents. We found that the population structure that emerged under low population densities was most conducive to the evolution of fairness, which is consistent with group selection as a major evolutionary force. We also found that fairness only evolves if resources are not too scarce relative to the lifespan of agents. We conclude that the evolution of fairness could evolve under multilevel selection. Thus, our model provides a novel explanation for the results of dictator game experiments, in which participants often fairly split a resource rather than keeping it all for themselves.",Cooperation | Group selection | Inequality | Prosocial | Sharing,12.0,0.0,,,NSF,DGE1148897,National Science Foundation,Social and Cultural dynamics,
2-s2.0-84891155208,10.1016/j.tpb.2013.10.004,S0040580913001081,24211681,Evolution of learning strategies in temporally and spatially variable environments: A review of theory,ar,Article,Aoki K.,60022180;60012708,Meiji University;Stanford University,Tokyo;Stanford,Japan;United States,2,"Aoki, Kenichi;Feldman, Marcus W.",35402326800;35429106600,60022180;60012708,2014-01-01,February 2014,Theoretical Population Biology,00405809,14343,10960325,Journal,91,,,3-19,"The theoretical literature from 1985 to the present on the evolution of learning strategies in variable environments is reviewed, with the focus on deterministic dynamical models that are amenable to local stability analysis, and on deterministic models yielding evolutionarily stable strategies. Individual learning, unbiased and biased social learning, mixed learning, and learning schedules are considered. A rapidly changing environment or frequent migration in a spatially heterogeneous environment favors individual learning over unbiased social learning. However, results are not so straightforward in the context of learning schedules or when biases in social learning are introduced. The three major methods of modeling temporal environmental change-coevolutionary, two-timescale, and information decay-are compared and shown to sometimes yield contradictory results. The so-called Rogers' paradox is inherent in the two-timescale method as originally applied to the evolution of pure strategies, but is often eliminated when the other methods are used. Moreover, Rogers' paradox is not observed for the mixed learning strategies and learning schedules that we review. We believe that further theoretical work is necessary on learning schedules and biased social learning, based on models that are logically consistent and empirically pertinent. © 2013 Elsevier Inc.",Dynamical models | Evolutionarily stable strategies | Monte Carlo/agent-based simulations | Rogers' paradox,86.0,0.0,repositoryam,Green,NIH,R01GM028016,National Institutes of Health,Social and Cultural dynamics,
2-s2.0-85002991742,10.1016/j.cognition.2016.11.012,S0010027716302840,27939837,Exploration and exploitation of Victorian science in Darwin's reading notebooks,ar,Article,Murdock J.,60030961;60027950;60021121;60018308;60010875,"Santa Fe Institute;Carnegie Mellon University;Indiana University Bloomington;Xi'an Jiaotong University;Luddy School of Informatics, Computing, and Engineering",Santa Fe;Pittsburgh;Bloomington;Xi'an;Bloomington,United States;United States;United States;China;United States,3,"Murdock, Jaimie;Allen, Colin;DeDeo, Simon",57518493400;7402266863;6603225099,60021121-60010875;60021121-60018308;60021121-60010875-60027950-60030961,2017-02-01,1 February 2017,Cognition,00100277,12857,18737838,Journal,159,,,117-126,"Search in an environment with an uncertain distribution of resources involves a trade-off between exploitation of past discoveries and further exploration. This extends to information foraging, where a knowledge-seeker shifts between reading in depth and studying new domains. To study this decision-making process, we examine the reading choices made by one of the most celebrated scientists of the modern era: Charles Darwin. From the full-text of books listed in his chronologically-organized reading journals, we generate topic models to quantify his local (text-to-text) and global (text-to-past) reading decisions using Kullback-Liebler Divergence, a cognitively-validated, information-theoretic measure of relative surprise. Rather than a pattern of surprise-minimization, corresponding to a pure exploitation strategy, Darwin's behavior shifts from early exploitation to later exploration, seeking unusually high levels of cognitive surprise relative to previous eras. These shifts, detected by an unsupervised Bayesian model, correlate with major intellectual epochs of his career as identified both by qualitative scholarship and Darwin's own self-commentary. Our methods allow us to compare his consumption of texts with their publication order. We find Darwin's consumption more exploratory than the culture's production, suggesting that underneath gradual societal changes are the explorations of individual synthesis and discovery. Our quantitative methods advance the study of cognitive search through a framework for testing interactions between individual and collective behavior and between short- and long-term consumption choices. This novel application of topic modeling to characterize individual reading complements widespread studies of collective scientific behavior.",Cognitive search | Exploration-exploitation | History of science | Information foraging | Scientific discovery | Topic modeling,37.0,0.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-0035826155,10.1038/35065725,,11258382,Exploring complex networks,re,Review,Strogatz S.H.,60007776,Cornell University,Ithaca,United States,1,"Strogatz, S. H.",7004197013,60007776,2001-03-08,8 March 2001,Nature,00280836,21206,,Journal,410,6825,,268-276,"The study of networks pervades all of science, from neurobiology to statistical physics. The most basic issues are structural: how does one characterize the wiring diagram of a food web or the Internet or the metabolic network of the bacterium Escherichia coli? Are there any unifying principles underlying their topology? From the perspective of nonlinear dynamics, we would also like to understand how an enormous network of interacting dynamical systems - be they neurons, power stations or lasers - will behave collectively, given their individual dynamics and coupling architecture. Researchers are only now beginning to unravel the structure and dynamics of complex networks.",,6686.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-1842788824,10.1073/pnas.0307752101,,14872004,Finding scientific topics,ar,Article,Griffiths T.L.,60022195;60012708;60007278,"Massachusetts Institute of Technology;Stanford University;University of California, Irvine",Cambridge;Stanford;Irvine,United States;United States;United States,2,"Griffiths, Thomas L.;Steyvers, Mark",57222226477;6701525340,60012708-60022195;60007278,2004-04-06,6 April 2004,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,,Journal,101,SUPPL. 1,,5228-5235,"A first step in identifying the content of a document is determining which topics that document addresses. We describe a generative model for documents, introduced by Blei, Ng, and Jordan [Blei, D. M., Ng, A. Y. & Jordan, M. I. (2003) J. Machine Learn. Res. 3, 993-1022], in which each document is generated by choosing a distribution over topics and then choosing each word in the document from a topic selected according to this distribution. We then present a Markov chain Monte Carlo algorithm for inference in this model. We use this algorithm to analyze abstracts from PNAS by using Bayesian model selection to establish the number of topics. We show that the extracted topics capture meaningful structure in the data, consistent with the class designations provided by the authors of the articles, and outline further applications of this analysis, including identifying ""hot topics"" by examining temporal dynamics and tagging abstracts to illustrate semantic content.",,4712.0,0.0,repositoryvor,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-33845415805,10.1126/science.1133755,,17158317,Five rules for the evolution of cooperation,re,Review,Nowak M.A.,60009982;60006303,Harvard University;Harvard Faculty of Arts and Sciences,Cambridge;Cambridge,United States;United States,1,"Nowak, Martin A.",7201493023,60006303-60009982,2006-12-08,8 December 2006,Science,00368075,23571,10959203,Journal,314,5805,,1560-1563,"Cooperation is needed for evolution to construct new levels of organization. Genomes, cells, multicellular organisms, social insects, and human society are all based on cooperation. Cooperation means that selfish replicators forgo some of their reproductive potential to help one another. But natural selection implies competition and therefore opposes cooperation unless a specific mechanism is at work. Here I discuss five mechanisms for the evolution of cooperation: kin selection, direct reciprocity, indirect reciprocity, network reciprocity, and group selection. For each mechanism, a simple rule is derived that specifies whether natural selection can lead to cooperation.",,4066.0,0.0,repositoryam,Green,NIGMS,R01GM078986,National Institute of General Medical Sciences,Social and Cultural dynamics,
2-s2.0-84939256112,10.1111/tops.12151,,26097107,Foraging in Semantic Fields: How We Search Through Memory,ar,Article,Hills T.T.,60022020;60021121,University of Warwick;Indiana University Bloomington,Coventry;Bloomington,United Kingdom;United States,3,"Hills, Thomas T.;Todd, Peter M.;Jones, Michael N.",6701562138;7102895848;57212372917,60022020;60021121;60021121,2015-07-01,1 July 2015,Topics in Cognitive Science,17568757,19900191735,17568765,Journal,7,3,,513-534,"When searching for concepts in memory-as in the verbal fluency task of naming all the animals one can think of-people appear to explore internal mental representations in much the same way that animals forage in physical space: searching locally within patches of information before transitioning globally between patches. However, the definition of the patches being searched in mental space is not well specified. Do we search by activating explicit predefined categories (e.g., pets) and recall items from within that category (categorical search), or do we activate and recall a connected sequence of individual items without using categorical information, with each item recalled leading to the retrieval of an associated item in a stream (associative search), or both? Using semantic representations in a search of associative memory framework and data from the animal fluency task, we tested competing hypotheses based on associative and categorical search models. Associative, but not categorical, patch transitions took longer to make than position-matched productions, suggesting that categorical transitions were not true transitions. There was also clear evidence of associative search even within categorical patch boundaries. Furthermore, most individuals' behavior was best explained by an associative search model without the addition of categorical information. Thus, our results support a search process that does not use categorical information, but for which patch boundaries shift with each recall and local search is well described by a random walk in semantic space, with switches to new regions of the semantic space when the current region is depleted.",Natural categories | Optimal foraging | Semantic space | Verbal fluency,90.0,0.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-85104125837,10.3389/frai.2020.00062,,,How We Do Things With Words: Analyzing Text as Social and Cultural Data,re,Review,Nguyen D.,60163091;60111768;60105355;60097290;60030961;60028072;60027950;60027272;60022109;60007989;60003088,"Faculty of Science, Engineering and Medicine;The Alan Turing Institute;School of Advanced Study, University of London;College of Computing;Santa Fe Institute;Cornell University Department of Information Science;Carnegie Mellon University;The University of Edinburgh;Queen Mary University of London;Universiteit Utrecht;The George Washington University","Coventry;London;London;Atlanta;Santa Fe;Ithaca;Pittsburgh;Edinburgh;London;Utrecht;Washington, D.C.",United Kingdom;United Kingdom;United Kingdom;United States;United States;United States;United States;United Kingdom;United Kingdom;Netherlands;United States,7,"Nguyen, Dong;Liakata, Maria;DeDeo, Simon;Eisenstein, Jacob;Mimno, David;Tromble, Rebekah;Winters, Jane",10143246200;26432031900;6603225099;7004480021;22980809700;56339797300;57189228913,60111768-60027272-60007989;60111768-60163091-60022109;60027950-60030961;60097290;60028072;60003088;60105355,2020-08-25,25 August 2020,Frontiers in Artificial Intelligence,,21101062817,26248212,Journal,3,,62,,"In this article we describe our experiences with computational text analysis involving rich social and cultural concepts. We hope to achieve three primary goals. First, we aim to shed light on thorny issues not always at the forefront of discussions about computational text analysis methods. Second, we hope to provide a set of key questions that can guide work in this area. Our guidance is based on our own experiences and is therefore inherently imperfect. Still, given our diversity of disciplinary backgrounds and research practices, we hope to capture a range of ideas and identify commonalities that resonate for many. This leads to our final goal: to help promote interdisciplinary collaborations. Interdisciplinary insights and partnerships are essential for realizing the full potential of any computational text analysis involving social and cultural concepts, and the more we bridge these divides, the more fruitful we believe our work will be.",computational social science | computational text analysis | cultural analytics | digital humanities | natural language processing,45.0,1.0,repositoryam,Green,EPSRC,EP/N510129/1,Alan Turing Institute,Social and Cultural dynamics,
